"","tracking_id","Gene_Set","m","sd"
"544","GRMZM2G050412","filtered_set",271.76682347813,441.04233208413
"546","GRMZM2G090568","filtered_set",86.1838364303043,328.216322746166
"547","GRMZM2G084465","filtered_set",573.42436433913,364.795889438941
"548","GRMZM2G060702","filtered_set",621.32950508987,429.895147528955
"549","AC196475.3_FG004","filtered_set",253.174133782739,464.690198993728
"552","GRMZM2G025441","filtered_set",129.300307350696,359.19250297217
"554","GRMZM2G055936","filtered_set",405.871677673783,335.632491371103
"557","AC195331.3_FG008","filtered_set",373.845597081304,392.598389630511
"558","GRMZM2G051943","filtered_set",318.356425992913,497.64385254132
"559","GRMZM2G156861","filtered_set",239.424203129609,350.209749801492
"560","GRMZM2G085646","filtered_set",81.5447868576957,318.434460838345
"561","GRMZM2G083253","filtered_set",592.569480279696,332.168400702954
"564","GRMZM2G090422","filtered_set",463.187051455087,345.991691819454
"565","GRMZM2G059465","filtered_set",156.656945165261,396.419510325294
"566","GRMZM5G835323","filtered_set",377.841870992609,327.766532994663
"567","GRMZM2G104325","filtered_set",273.618347809565,435.932201746381
"568","GRMZM5G845611","filtered_set",77.1791358335217,312.522218623398
"569","GRMZM2G158407","filtered_set",65.5348062028696,313.905407269761
