,tracking_id,Syntany,m,sd
1735,GRMZM2G014844,Syntenic,771.2557461,1814.380262
1736,GRMZM2G014854,Syntenic,9.138171011,20.38261713
1737,GRMZM2G014872,Syntenic,194.8065393,107.9159021
1738,GRMZM2G014905,Non-Syntenic,0.921640305,3.690200078
1739,GRMZM2G014914,Syntenic,1315.866267,1087.12444
1740,GRMZM2G014917,Syntenic,32.18043649,25.80403941
1741,GRMZM2G014955,Non-Syntenic,0.352288229,2.0237418
1742,GRMZM2G014975,Syntenic,31.59787749,40.83261523
1743,GRMZM2G014981,Syntenic,8.497869334,21.66727711
1744,GRMZM2G014994,Syntenic,0.523836167,2.509600976
1745,GRMZM2G015005,Syntenic,183.0869305,206.7308324
1746,GRMZM2G015011,Non-Syntenic,95.81027201,108.2452775
1747,GRMZM2G015024,Non-Syntenic,87.11951489,300.6589655
1748,GRMZM2G015033,Non-Syntenic,226.1364253,488.7235594
1749,GRMZM2G015037,Syntenic,0.339870003,1.551619102
1750,GRMZM2G015049,Non-Syntenic,0.538236531,3.091933469
1751,GRMZM2G015067,Syntenic,64.10952238,55.32021678
1752,GRMZM2G015073,Syntenic,64.28580286,55.27370238
1753,GRMZM2G015080,Syntenic,0.16974114,0.975088615
1754,GRMZM2G015090,Syntenic,52.08888201,52.0009012
1755,GRMZM2G015097,Syntenic,30.80622817,53.76554014
1756,GRMZM2G015100,Syntenic,50.24395909,51.99639864
1757,GRMZM2G015126,Non-Syntenic,1.32255801,2.741097692
1758,GRMZM2G015127,Syntenic,2710.605757,8859.421969
1759,GRMZM2G015132,Syntenic,1501.561038,688.689509
1760,GRMZM2G015136,Non-Syntenic,0.993057717,4.115737832
1761,GRMZM2G015159,Syntenic,0.185915024,1.068000505
1762,GRMZM2G015190,NA,15.32989938,19.45750452
1763,GRMZM2G015200,Syntenic,19.25183887,34.21403284
1764,GRMZM2G015219,Syntenic,2.651293664,8.994646051
1765,GRMZM2G015238,Syntenic,254.2863095,149.6653886
1766,GRMZM2G015277,NA,197.9467751,223.7002607
1767,GRMZM2G015280,Syntenic,0.197370166,1.133805282
1768,GRMZM2G015285,Non-Syntenic,710.429642,2816.528488
1769,GRMZM2G015287,Non-Syntenic,24.81791487,73.41317579
1770,GRMZM2G015295,Syntenic,16636.97225,10601.5299
1771,GRMZM2G015324,Syntenic,12.92472305,27.76007247
1772,GRMZM2G015344,Syntenic,122.6289431,208.7844076
1773,GRMZM2G015352,Syntenic,1.527993841,8.777656344
1774,GRMZM2G015361,Syntenic,7254.710069,5459.263697
1775,GRMZM2G015364,Syntenic,54.41403444,56.93347222
1776,GRMZM2G015368,Non-Syntenic,10.31051223,37.7702085
1777,GRMZM2G015384,Syntenic,1568.710298,1324.637097
1778,GRMZM2G015395,Syntenic,19.73163803,64.99061702
1779,GRMZM2G015401,Syntenic,1607.716097,854.6360288
1780,GRMZM2G015418,Syntenic,407.8914369,1495.923399
1781,GRMZM2G015419,Syntenic,1725.615021,5101.979999
1782,GRMZM2G015436,Syntenic,23.07432877,45.30827315
1783,GRMZM2G015534,Syntenic,20.46099233,88.82783456
1784,GRMZM2G015571,Syntenic,14.56402805,28.74223674
1785,GRMZM2G015578,Syntenic,1241.674407,920.9536603
1786,GRMZM2G015588,Syntenic,32.05916922,91.25359107
1787,GRMZM2G015592,Syntenic,3.47705713,12.87173812
1788,GRMZM2G015596,Syntenic,28.66155461,37.56481671
1789,GRMZM2G015603,NA,4.463578412,25.64130582
1790,GRMZM2G015610,Syntenic,17.80003271,27.47911714
1791,GRMZM2G015642,Syntenic,205.4853802,144.5543378
1792,GRMZM2G015648,Syntenic,0.417293528,2.397168811
1793,GRMZM2G015666,Syntenic,1.386949458,7.96741805
1794,GRMZM2G015703,Syntenic,8.006553867,14.10794373
1795,GRMZM2G015709,Syntenic,40.6102037,80.1182529
1796,GRMZM2G015727,Syntenic,1.960971591,5.084506211
1797,GRMZM2G015730,Syntenic,12.43097866,32.0779345
1798,GRMZM2G015735,Syntenic,21.89963424,36.50358742
1799,GRMZM2G015784,Syntenic,2798.41349,1851.081965
1800,GRMZM2G015793,Syntenic,0.621455269,2.230156516
